Date,cote_cm,S_m2,V_m3,periode
2017-01-01 8:00,799,36810,57602,periode13
2017-01-02 8:00,800,36879,57897,periode13
2017-01-03 8:00,801,36982,58340,periode13
2017-01-04 8:00,802,37042,58598,periode13
2017-01-05 8:00,803,37137,59003,periode13
2017-01-06 8:00,787,35687,53103,periode13
2017-01-07 8:00,786,35603,52779,periode13
2017-01-08 8:00,787,35696,53139,periode13
2017-01-09 8:00,833,39588,70515,periode13
2017-01-10 8:00,850,40870,77318,periode13
2017-01-11 8:00,854,41151,78871,periode13
2017-01-12 8:00,847,40618,75928,periode13
2017-01-13 8:00,829,39252,68862,periode13
2017-01-14 8:00,831,39420,69688,periode13
2017-01-15 8:00,834,39628,70711,periode13
2017-01-16 8:00,849,40796,76909,periode13
2017-01-17 8:00,891,43827,94478,periode13
2017-01-18 8:00,894,44082,96131,periode13
2017-01-19 8:00,878,42942,89218,periode13
2017-01-20 8:00,861,41671,81815,periode13
2017-01-21 8:00,862,41758,82315,periode13
2017-01-22 8:00,864,41897,83105,periode13
2017-01-23 8:00,866,42041,83944,periode13
2017-01-24 8:00,868,42183,84791,periode13
2017-01-25 8:00,896,44220,97017,periode13
2017-01-26 8:00,888,43681,93543,periode13
2017-01-27 8:00,870,42353,85806,periode13
2017-01-28 8:00,851,40974,77890,periode13
2017-01-29 8:00,853,41092,78544,periode13
2017-01-30 8:00,855,41240,79361,periode13
2017-01-31 8:00,856,41313,79777,periode13
2017-02-01 8:00,858,41459,80609,periode13
2017-02-02 8:00,859,41532,81025,periode13
2017-02-03 8:00,860,41627,81566,periode13
2017-02-04 8:00,862,41744,82231,periode13
2017-02-05 8:00,862,41773,82398,periode13
2017-02-06 8:00,864,41890,83063,periode13
2017-02-07 8:00,888,43668,93456,periode13
2017-02-08 8:00,874,42588,87204,periode13
2017-02-09 8:00,916,45714,106175,periode13
2017-02-10 8:00,899,44392,98129,periode13
2017-02-11 8:00,882,43250,90940,periode13
2017-02-12 8:00,878,42919,89089,periode13
2017-02-13 8:00,881,43150,90381,periode13
2017-02-14 8:00,864,41868,82939,periode13
2017-02-15 8:00,864,41912,83188,periode13
2017-02-16 8:00,866,42062,84071,periode13
2017-02-17 8:00,868,42169,84706,periode13
2017-02-18 8:00,869,42275,85341,periode13
2017-02-19 8:00,871,42368,85891,periode13
2017-02-20 8:00,872,42439,86314,periode13
2017-02-21 8:00,872,42502,86696,periode13
2017-02-22 8:00,873,42566,87077,periode13
2017-02-23 8:00,874,42609,87331,periode13
2017-02-24 8:00,875,42666,87669,periode13
2017-02-25 8:00,876,42742,88098,periode13
2017-02-26 8:00,876,42757,88185,periode13
2017-02-27 8:00,876,42757,88185,periode13
2017-02-28 8:00,876,42757,88185,periode13
2017-03-01 8:00,876,42757,88185,periode13
2017-03-02 8:00,876,42796,88400,periode13
2017-03-03 8:00,877,42834,88615,periode13
2017-03-04 8:00,877,42834,88615,periode13
2017-03-05 8:00,877,42834,88615,periode13
2017-03-06 8:00,877,42834,88615,periode13
2017-03-07 8:00,877,42834,88615,periode13
2017-03-08 8:00,877,42811,88486,periode13
2017-03-09 8:00,876,42765,88228,periode13
2017-03-10 8:00,876,42742,88098,periode13
2017-03-11 8:00,876,42750,88146,periode13
2017-03-12 8:00,876,42757,88185,periode13
2017-03-13 8:00,876,42757,88185,periode13
2017-03-14 8:00,876,42757,88185,periode13
2017-03-15 8:00,876,42757,88185,periode13
2017-03-16 8:00,875,42710,87920,periode13
2017-03-17 8:00,875,42657,87620,periode13
2017-03-18 8:00,874,42608,87322,periode13
2017-03-19 8:00,873,42558,87025,periode13
2017-03-20 8:00,873,42508,86727,periode13
2017-03-21 8:00,872,42458,86430,periode13
2017-03-22 8:00,871,42408,86132,periode13
2017-03-23 8:00,870,42358,85835,periode13
2017-03-24 8:00,870,42308,85537,periode13
2017-03-25 8:00,869,42258,85240,periode13
2017-03-26 8:00,868,42208,84942,periode13
2017-03-27 8:00,868,42159,84645,periode13
2017-03-28 8:00,867,42105,84325,periode13
2017-03-29 8:00,866,42041,83944,periode13
2017-03-30 8:00,865,41977,83563,periode13
2017-03-31 8:00,864,41904,83147,periode13
2017-04-01 8:00,863,41846,82814,periode13
2017-04-02 8:00,864,41919,83230,periode13
2017-04-03 8:00,865,41963,83479,periode13
2017-04-04 8:00,865,41963,83479,periode13
2017-04-05 8:00,865,41970,83521,periode13
2017-04-06 8:00,865,41970,83521,periode13
2017-04-07 8:00,865,41977,83563,periode13
2017-04-08 8:00,865,41941,83355,periode13
2017-04-09 8:00,864,41897,83105,periode13
2017-04-10 8:00,864,41897,83105,periode13
2017-04-11 8:00,864,41897,83105,periode13
2017-04-12 8:00,864,41890,83063,periode13
