Date,Cote_cm,S_m2,V_m3,periode
2017-01-01 8:00,1704,5887704,19280600,periode4
2017-01-02 8:00,1704,5885444,19268800,periode4
2017-01-03 8:00,1704,5884314,19262900,periode4
2017-01-04 8:00,1704,5883184,19257000,periode4
2017-01-05 8:00,1704,5883184,19257000,periode4
2017-01-06 8:00,1706,5901266,19351400,periode4
2017-01-07 8:00,1704,5878664,19233400,periode4
2017-01-08 8:00,1703,5874143,19209800,periode4
2017-01-09 8:00,1712,5974069,19737000,periode4
2017-01-10 8:00,1721,6074835,20284440,periode4
2017-01-11 8:00,1725,6120157,20523120,periode4
2017-01-12 8:00,1730,6174776,20810760,periode4
2017-01-13 8:00,1731,6189497,20885400,periode4
2017-01-14 8:00,1732,6203134,20954040,periode4
2017-01-15 8:00,1732,6204373,20960280,periode4
2017-01-16 8:00,1734,6225448,21066360,periode4
2017-01-17 8:00,1738,6275036,21315960,periode4
2017-01-18 8:00,1744,6356751,21676320,periode4
2017-01-19 8:00,1744,6362938,21701800,periode4
2017-01-20 8:00,1744,6367578,21720910,periode4
2017-01-21 8:00,1742,6328911,21561660,periode4
2017-01-22 8:00,1745,6379952,21771870,periode4
2017-01-23 8:00,1745,6381498,21778240,periode4
2017-01-24 8:00,1745,6381498,21778240,periode4
2017-01-25 8:00,1748,6421713,21943860,periode4
2017-01-26 8:00,1752,6480255,22188640,periode4
2017-01-27 8:00,1753,6507835,22306360,periode4
2017-01-28 8:00,1754,6509367,22312900,periode4
2017-01-29 8:00,1754,6518560,22352140,periode4
2017-01-30 8:00,1755,6532350,22411000,periode4
2017-01-31 8:00,1755,6535414,22424080,periode4
2017-02-01 8:00,1755,6535414,22424080,periode4
2017-02-02 8:00,1755,6536947,22430620,periode4
2017-02-03 8:00,1755,6536947,22430620,periode4
2017-02-04 8:00,1755,6535414,22424080,periode4
2017-02-05 8:00,1755,6536947,22430620,periode4
2017-02-06 8:00,1756,6541543,22450240,periode4
2017-02-07 8:00,1761,6623205,22818040,periode4
2017-02-08 8:00,1761,6619644,22798030,periode4
2017-02-09 8:00,1773,6757862,23601620,periode4
2017-02-10 8:00,1782,6850516,24206840,periode4
2017-02-11 8:00,1784,6875498,24371960,periode4
2017-02-12 8:00,1785,6884866,24433880,periode4
2017-02-13 8:00,1786,6893193,24488920,periode4
2017-02-14 8:00,1787,6901520,24543960,periode4
2017-02-15 8:00,1787,6908807,24592120,periode4
2017-02-16 8:00,1788,6912970,24619640,periode4
2017-02-17 8:00,1788,6912970,24619640,periode4
2017-02-18 8:00,1788,6912970,24619640,periode4
2017-02-19 8:00,1788,6914011,24626520,periode4
2017-02-20 8:00,1788,6914011,24626520,periode4
2017-02-21 8:00,1788,6911929,24612760,periode4
2017-02-22 8:00,1788,6909848,24599000,periode4
2017-02-23 8:00,1788,6909848,24599000,periode4
2017-02-24 8:00,1787,6908807,24592120,periode4
2017-02-25 8:00,1788,6911929,24612760,periode4
2017-02-26 8:00,1787,6905684,24571480,periode4
2017-02-27 8:00,1787,6908807,24592120,periode4
2017-02-28 8:00,1786,6899438,24530200,periode4
2017-03-01 8:00,1787,6900479,24537080,periode4
2017-03-02 8:00,1786,6893193,24488920,periode4
2017-03-03 8:00,1786,6891111,24475160,periode4
2017-03-04 8:00,1785,6887989,24454520,periode4
2017-03-05 8:00,1785,6887989,24454520,periode4
2017-03-06 8:00,1786,6889030,24461400,periode4
2017-03-07 8:00,1787,6901520,24543960,periode4
2017-03-08 8:00,1785,6884866,24433880,periode4
2017-03-09 8:00,1783,6859884,24268760,periode4
2017-03-10 8:00,1783,6861966,24282520,periode4
2017-03-11 8:00,1781,6846353,24179320,periode4
2017-03-12 8:00,1780,6827616,24055880,periode4
2017-03-13 8:00,1779,6823451,24028760,periode4
2017-03-14 8:00,1779,6819287,24001640,periode4
2017-03-15 8:00,1778,6816164,23981300,periode4
2017-03-16 8:00,1778,6810958,23947400,periode4
2017-03-17 8:00,1778,6808876,23933840,periode4
2017-03-18 8:00,1777,6800547,23879600,periode4
2017-03-19 8:00,1777,6796383,23852480,periode4
2017-03-20 8:00,1776,6791177,23818580,periode4
2017-03-21 8:00,1777,6799766,23874515,periode4
2017-03-22 8:00,1777,6800113,23876775,periode4
2017-03-23 8:00,1776,6789702,23808975,periode4
2017-03-24 8:00,1775,6779291,23741175,periode4
2017-03-25 8:00,1774,6769314,23676200,periode4
2017-03-26 8:00,1774,6769314,23676200,periode4
2017-03-27 8:00,1774,6768880,23673375,periode4
2017-03-28 8:00,1773,6758903,23608400,periode4
2017-03-29 8:00,1773,6757998,23602504,periode4
2017-03-30 8:00,1771,6741204,23493140,periode4
2017-03-31 8:00,1770,6727670,23405000,periode4
2017-04-01 8:00,1769,6720547,23364980,periode4
2017-04-02 8:00,1770,6732876,23438900,periode4
2017-04-03 8:00,1770,6730793,23425340,periode4
2017-04-04 8:00,1769,6719360,23358310,periode4
2017-04-05 8:00,1769,6714612,23331630,periode4
2017-04-06 8:00,1771,6737213,23467150,periode4
2017-04-07 8:00,1769,6715304,23335521,periode4
2017-04-08 8:00,1768,6703928,23271600,periode4
2017-04-09 8:00,1768,6703433,23268821,periode4
2017-04-10 8:00,1767,6692057,23204900,periode4
2017-04-11 8:00,1767,6690762,23197624,periode4
2017-04-12 8:00,1765,6665941,23058160,periode4
2017-04-13 8:00,1766,6679691,23135421,periode4
2017-04-14 8:00,1765,6666475,23061162,periode4
2017-04-15 8:00,1762,6627954,22844720,periode4
2017-04-16 8:00,1762,6632702,22871400,periode4
2017-04-17 8:00,1761,6617270,22784690,periode4
2017-04-18 8:00,1761,6619207,22795573,periode4
2017-04-19 8:00,1760,6608322,22735275,periode4
2017-04-20 8:00,1759,6591340,22662790,periode4
2017-04-21 8:00,1756,6546140,22469860,periode4
2017-04-22 8:00,1755,6530818,22404460,periode4
2017-04-23 8:00,1754,6509367,22312900,periode4
2017-04-24 8:00,1756,6545025,22465104,periode4
2017-04-25 8:00,1752,6486384,22214800,periode4
2017-04-26 8:00,1751,6474126,22162480,periode4
2017-04-27 8:00,1753,6501068,22277475,periode4
2017-04-28 8:00,1752,6486384,22214800,periode4
2017-04-29 8:00,1752,6485746,22212075,periode4
2017-04-30 8:00,1751,6468840,22139917,periode4
2017-05-01 8:00,1748,6420166,21937490,periode4
2017-05-02 8:00,1747,6412432,21905640,periode4
2017-05-03 8:00,1748,6424162,21953946,periode4
2017-05-04 8:00,1745,6373765,21746390,periode4
2017-05-05 8:00,1744,6364485,21708170,periode4
2017-05-06 8:00,1745,6380467,21773993,periode4
2017-05-07 8:00,1744,6370156,21731527,periode4
2017-05-08 8:00,1742,6339738,21606250,periode4
2017-05-09 8:00,1740,6304163,21459740,periode4
2017-05-10 8:00,1742,6331360,21571746,periode4
2017-05-11 8:00,1741,6312206,21492864,periode4
2017-05-12 8:00,1740,6299210,21437640,periode4
2017-05-13 8:00,1736,6257680,21228600,periode4
2017-05-14 8:00,1736,6245284,21166200,periode4
2017-05-15 8:00,1734,6227928,21078840,periode4
2017-05-16 8:00,1733,6215531,21016440,periode4
2017-05-17 8:00,1733,6212826,21002825,periode4
2017-05-18 8:00,1730,6178340,20829240,periode4
2017-05-19 8:00,1729,6166641,20767920,periode4
