X,Date,ImageName,Reservoir_1_px,Reservoir_1_area_ha,Reservoir_2_px,Reservoir_2_area_ha,Reservoir_3_px,Reservoir_3_area_ha,Reservoir_4_px,Reservoir_4_area_ha,Reservoir_5_px,Reservoir_5_area_ha,Reservoir_6_px,Reservoir_6_area_ha,Reservoir_7_px,Reservoir_7_area_ha,Reservoir_8_px,Reservoir_8_area_ha,Reservoir_9_px,Reservoir_9_area_ha,Reservoir_10_px,Reservoir_10_area_ha,Reservoir_11_px,Reservoir_11_area_ha,Reservoir_12_px,Reservoir_12_area_ha
1,2017-01-31,S2A2A_20170131_122_AOI_BOA_10_AWEI.tif,64221,642.21,1869,18.69,766,7.66,2272,22.72,1684,16.84,96,0.96,87,0.87,33,0.33,285,2.85,228,2.28,68,0.68,80,0.8
2,2017-02-10,S2A2A_20170210_122_AOI_BOA_10_AWEI.tif,68074,680.74,2078,20.78,1017,10.17,2394,23.94,1694,16.94,121,1.21,117,1.17,143,1.43,314,3.14,407,4.07,0,0,109,1.09
3,2017-03-02,S2A2A_20170302_122_AOI_BOA_10_AWEI.tif,60499,604.99,1803,18.03,369,3.69,2243,22.43,676,6.76,0,0,56,0.56,0,0,271,2.71,207,2.07,0,0,31,0.31
4,2017-03-12,S2A2A_20170312_122_AOI_BOA_10_AWEI.tif,66854,668.54,1745,17.45,678,6.78,2285,22.85,1458,14.58,0,0,74,0.74,29,0.29,274,2.74,299,2.99,0,0,66,0.66
5,2017-04-01,S2A2A_20170401_122_AOI_BOA_10_AWEI.tif,64540,645.4,1546,15.46,617,6.17,2206,22.06,1241,12.41,0,0,40,0.4,0,0,225,2.25,195,1.95,0,0,10,0.1
6,2017-04-11,S2A2A_20170411_122_AOI_BOA_10_AWEI.tif,64183,641.83,58,0.58,386,3.86,2227,22.27,1261,12.61,0,0,6,0.06,0,0,236,2.36,186,1.86,0,0,8,0.08
7,2017-05-01,S2A2A_20170501_122_AOI_BOA_10_AWEI.tif,58652,586.52,132,1.32,248,2.48,2096,20.96,1033,10.33,0,0,0,0,0,0,86,0.86,0,0,0,0,0,0
8,2017-05-21,S2A2A_20170521_122_AOI_BOA_10_AWEI.tif,57018,570.18,326,3.26,16,0.16,1934,19.34,678,6.78,0,0,0,0,0,0,0,0,0,0,0,0,24,0.24
9,2017-05-31,S2A2A_20170531_122_AOI_BOA_10_AWEI.tif,31350,313.5,0,0,82,0.82,1867,18.67,187,1.87,0,0,0,0,0,0,0,0,0,0,0,0,62,0.62
10,2017-06-10,S2A2A_20170610_122_AOI_BOA_10_AWEI.tif,54287,542.87,0,0,84,0.84,1840,18.4,406,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017-06-20,S2A2A_20170620_122_AOI_BOA_10_AWEI.tif,52139,521.39,1,0.01,124,1.24,1817,18.17,266,2.66,0,0,0,0,0,0,0,0,0,0,0,0,89,0.89
12,2017-06-30,S2A2A_20170630_122_AOI_BOA_10_AWEI.tif,35262,352.62,0,0,9,0.09,1531,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.3
13,2017-07-10,S2A2A_20170710_122_AOI_BOA_10_AWEI.tif,42545,425.45,0,0,36,0.36,1650,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0.7
14,2017-07-20,S2A2A_20170720_122_AOI_BOA_10_AWEI.tif,22730,227.3,0,0,1,0.01,1551,15.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.08
15,2017-07-30,S2A2A_20170730_122_AOI_BOA_10_AWEI.tif,45685,456.85,880,8.8,15,0.15,1573,15.73,15,0.15,0,0,0,0,0,0,0,0,8,0.08,0,0,73,0.73
16,2017-08-09,S2A2A_20170809_122_AOI_BOA_10_AWEI.tif,11840,118.4,45,0.45,21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.12
17,2017-08-19,S2A2A_20170819_122_AOI_BOA_10_AWEI.tif,41235,412.35,1195,11.95,0,0,1398,13.98,0,0,0,0,0,0,0,0,0,0,6,0.06,0,0,80,0.8
18,2017-08-29,S2A2A_20170829_122_AOI_BOA_10_AWEI.tif,39626,396.26,0,0,0,0,1305,13.05,0,0,0,0,0,0,0,0,0,0,30,0.3,0,0,77,0.77
19,2017-09-18,S2A2A_20170918_122_AOI_BOA_10_AWEI.tif,39222,392.22,28,0.28,0,0,1264,12.64,0,0,0,0,0,0,0,0,0,0,4,0.04,0,0,57,0.57
