X,Date,ImageName,Reservoir_1_px,Reservoir_1_area_ha,Reservoir_2_px,Reservoir_2_area_ha,Reservoir_3_px,Reservoir_3_area_ha,Reservoir_4_px,Reservoir_4_area_ha,Reservoir_5_px,Reservoir_5_area_ha,Reservoir_6_px,Reservoir_6_area_ha,Reservoir_7_px,Reservoir_7_area_ha,Reservoir_8_px,Reservoir_8_area_ha,Reservoir_9_px,Reservoir_9_area_ha,Reservoir_10_px,Reservoir_10_area_ha,Reservoir_11_px,Reservoir_11_area_ha,Reservoir_12_px,Reservoir_12_area_ha
1,2017-01-31,S2A2A_20170131_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017-02-10,S2A2A_20170210_122_AOI_BOA_10_B1_1500.tif,6,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017-03-02,S2A2A_20170302_122_AOI_BOA_10_B1_1500.tif,5269,52.69,0,0,0,0,0,0,109,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-03-12,S2A2A_20170312_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017-04-01,S2A2A_20170401_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017-04-11,S2A2A_20170411_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017-05-01,S2A2A_20170501_122_AOI_BOA_10_B1_1500.tif,2190,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.8,0,0,516,5.16
8,2017-05-21,S2A2A_20170521_122_AOI_BOA_10_B1_1500.tif,2019,20.19,0,0,450,4.5,0,0,0,0,0,0,68,0.68,0,0,484,4.84,157,1.57,114,1.14,0,0
9,2017-05-31,S2A2A_20170531_122_AOI_BOA_10_B1_1500.tif,21772,217.72,0,0,0,0,0,0,706,7.06,0,0,2,0.02,0,0,0,0,0,0,5,0.05,2,0.02
10,2017-06-10,S2A2A_20170610_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,166,1.66,332,3.32,0,0,0,0,0,0,390,3.9
11,2017-06-20,S2A2A_20170620_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017-06-30,S2A2A_20170630_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017-07-10,S2A2A_20170710_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017-07-20,S2A2A_20170720_122_AOI_BOA_10_B1_1500.tif,29763,297.63,143,1.43,0,0,0,0,0,0,101,1.01,298,2.98,0,0,0,0,0,0,0,0,0,0
15,2017-07-30,S2A2A_20170730_122_AOI_BOA_10_B1_1500.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2017-08-09,S2A2A_20170809_122_AOI_BOA_10_B1_1500.tif,11661,116.61,0,0,674,6.74,1745,17.45,0,0,0,0,0,0,0,0,0,0,0,0,18,0.18,0,0
17,2017-08-19,S2A2A_20170819_122_AOI_BOA_10_B1_1500.tif,54,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017-08-29,S2A2A_20170829_122_AOI_BOA_10_B1_1500.tif,54,0.54,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
