X,Date,ImageName,Reservoir_1_px,Reservoir_1_area_ha,Reservoir_2_px,Reservoir_2_area_ha,Reservoir_3_px,Reservoir_3_area_ha,Reservoir_4_px,Reservoir_4_area_ha,Reservoir_5_px,Reservoir_5_area_ha,Reservoir_6_px,Reservoir_6_area_ha,Reservoir_7_px,Reservoir_7_area_ha,Reservoir_8_px,Reservoir_8_area_ha,Reservoir_9_px,Reservoir_9_area_ha,Reservoir_10_px,Reservoir_10_area_ha,Reservoir_11_px,Reservoir_11_area_ha,Reservoir_12_px,Reservoir_12_area_ha
1,2017-01-31,S2A2A_20170131_122_AOI_BOA_10_MBWI.tif,62540,625.4,1704,17.04,700,7,1994,19.94,1516,15.16,84,0.84,68,0.68,10,0.1,0,0,196,1.96,2,0.02,71,0.71
2,2017-02-10,S2A2A_20170210_122_AOI_BOA_10_MBWI.tif,66066,660.66,1760,17.6,887,8.87,2021,20.21,1479,14.79,102,1.02,93,0.93,133,1.33,30,0.3,334,3.34,0,0,63,0.63
3,2017-03-02,S2A2A_20170302_122_AOI_BOA_10_MBWI.tif,56764,567.64,1715,17.15,100,1,1988,19.88,236,2.36,0,0,47,0.47,0,0,0,0,102,1.02,0,0,0,0
4,2017-03-12,S2A2A_20170312_122_AOI_BOA_10_MBWI.tif,65424,654.24,1675,16.75,605,6.05,2102,21.02,1373,13.73,0,0,49,0.49,14,0.14,50,0.5,253,2.53,0,0,14,0.14
5,2017-04-01,S2A2A_20170401_122_AOI_BOA_10_MBWI.tif,62973,629.73,1501,15.01,509,5.09,2043,20.43,1146,11.46,0,0,11,0.11,0,0,24,0.24,163,1.63,0,0,0,0
6,2017-04-11,S2A2A_20170411_122_AOI_BOA_10_MBWI.tif,63608,636.08,369,3.69,433,4.33,2199,21.99,1347,13.47,0,0,34,0.34,0,0,201,2.01,230,2.3,0,0,12,0.12
7,2017-05-01,S2A2A_20170501_122_AOI_BOA_10_MBWI.tif,57459,574.59,634,6.34,245,2.45,2106,21.06,1165,11.65,0,0,0,0,0,0,79,0.79,0,0,2,0.02,0,0
8,2017-05-21,S2A2A_20170521_122_AOI_BOA_10_MBWI.tif,52369,523.69,2,0.02,0,0,1742,17.42,144,1.44,0,0,0,0,0,0,0,0,0,0,0,0,4,0.04
9,2017-05-31,S2A2A_20170531_122_AOI_BOA_10_MBWI.tif,25237,252.37,0,0,46,0.46,1657,16.57,161,1.61,0,0,0,0,0,0,0,0,102,1.02,0,0,29,0.29
10,2017-06-10,S2A2A_20170610_122_AOI_BOA_10_MBWI.tif,51456,514.56,0,0,37,0.37,1712,17.12,377,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017-06-20,S2A2A_20170620_122_AOI_BOA_10_MBWI.tif,45270,452.7,0,0,64,0.64,1723,17.23,267,2.67,0,0,0,0,0,0,0,0,101,1.01,0,0,100,1
12,2017-06-30,S2A2A_20170630_122_AOI_BOA_10_MBWI.tif,14733,147.33,0,0,0,0,16,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017-07-10,S2A2A_20170710_122_AOI_BOA_10_MBWI.tif,30272,302.72,0,0,0,0,1534,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.03
14,2017-07-20,S2A2A_20170720_122_AOI_BOA_10_MBWI.tif,7481,74.81,0,0,0,0,1059,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017-07-30,S2A2A_20170730_122_AOI_BOA_10_MBWI.tif,37167,371.67,844,8.44,1,0.01,1564,15.64,0,0,0,0,0,0,0,0,0,0,14,0.14,0,0,79,0.79
16,2017-08-09,S2A2A_20170809_122_AOI_BOA_10_MBWI.tif,1429,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2017-08-19,S2A2A_20170819_122_AOI_BOA_10_MBWI.tif,40304,403.04,1325,13.25,0,0,1565,15.65,3,0.03,0,0,0,0,0,0,0,0,75,0.75,0,0,102,1.02
18,2017-08-29,S2A2A_20170829_122_AOI_BOA_10_MBWI.tif,39463,394.63,2,0.02,0,0,1486,14.86,0,0,0,0,0,0,0,0,0,0,96,0.96,0,0,99,0.99
19,2017-09-18,S2A2A_20170918_122_AOI_BOA_10_MBWI.tif,38958,389.58,605,6.05,0,0,1436,14.36,66,0.66,0,0,0,0,0,0,0,0,28,0.28,0,0,76,0.76
20,2017-10-08,S2A2A_20171008_122_AOI_BOA_10_MBWI.tif,27061,270.61,528,5.28,0,0,1539,15.39,521,5.21,0,0,0,0,0,0,0,0,69,0.69,0,0,7,0.07
21,2017-10-18,S2A2A_20171018_122_AOI_BOA_10_MBWI.tif,38569,385.69,1425,14.25,0,0,1550,15.5,462,4.62,0,0,0,0,0,0,0,0,105,1.05,0,0,99,0.99
22,2017-11-07,S2A2A_20171107_122_AOI_BOA_10_MBWI.tif,38716,387.16,626,6.26,0,0,1618,16.18,890,8.9,0,0,0,0,0,0,22,0.22,0,0,0,0,105,1.05
23,2017-12-07,S2A2A_20171207_122_AOI_BOA_10_MBWI.tif,39762,397.62,1569,15.69,651,6.51,1664,16.64,1026,10.26,4,0.04,2,0.02,0,0,42,0.42,148,1.48,0,0,101,1.01
24,2017-12-17,S2A2A_20171217_122_AOI_BOA_10_MBWI.tif,38413,384.13,1505,15.05,711,7.11,1844,18.44,232,2.32,0,0,0,0,0,0,0,0,142,1.42,0,0,0,0
25,2018-01-06,S2A2A_20180106_122_AOI_BOA_10_MBWI.tif,39951,399.51,1522,15.22,742,7.42,1879,18.79,1066,10.66,11,0.11,3,0.03,0,0,1,0.01,159,1.59,0,0,104,1.04
26,2018-01-16,S2A2A_20180116_122_AOI_BOA_10_MBWI.tif,39983,399.83,1669,16.69,751,7.51,1672,16.72,1258,12.58,0,0,6,0.06,0,0,0,0,173,1.73,16,0.16,100,1
27,2018-01-26,S2A2A_20180126_122_AOI_BOA_10_MBWI.tif,37760,377.6,1575,15.75,750,7.5,1992,19.92,1228,12.28,1,0.01,3,0.03,0,0,0,0,166,1.66,0,0,100,1
28,2018-03-07,S2A2A_20180307_122_AOI_BOA_10_MBWI.tif,28293,282.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2018-04-06,S2A2A_20180406_122_AOI_BOA_10_MBWI.tif,39161,391.61,1539,15.39,760,7.6,2085,20.85,1333,13.33,0,0,0,0,0,0,0,0,149,1.49,70,0.7,95,0.95
30,2018-04-16,S2A2A_20180416_122_AOI_BOA_10_MBWI.tif,37103,371.03,0,0,606,6.06,1955,19.55,22,0.22,0,0,0,0,0,0,0,0,98,0.98,49,0.49,77,0.77
31,2018-05-26,S2A2A_20180526_122_AOI_BOA_10_MBWI.tif,32228,322.28,0,0,198,1.98,1598,15.98,0,0,0,0,0,0,0,0,0,0,45,0.45,37,0.37,29,0.29
32,2018-06-05,S2A2A_20180605_122_AOI_BOA_10_MBWI.tif,32236,322.36,0,0,213,2.13,1459,14.59,0,0,0,0,0,0,0,0,0,0,33,0.33,0,0,26,0.26
33,2018-06-25,S2A2A_20180625_122_AOI_BOA_10_MBWI.tif,12187,121.87,0,0,426,4.26,1277,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.25
34,2018-07-05,S2A2A_20180705_122_AOI_BOA_10_MBWI.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2018-07-15,S2A2A_20180715_122_AOI_BOA_10_MBWI.tif,4932,49.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2018-07-25,S2A2A_20180725_122_AOI_BOA_10_MBWI.tif,23629,236.29,0,0,301,3.01,1556,15.56,3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,36,0.36
37,2018-08-14,S2A2A_20180814_122_AOI_BOA_10_MBWI.tif,20132,201.32,0,0,154,1.54,1669,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2018-09-03,S2A2A_20180903_122_AOI_BOA_10_MBWI.tif,18867,188.67,1349,13.49,219,2.19,1766,17.66,7,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2018-09-23,S2A2A_20180923_122_AOI_BOA_10_MBWI.tif,26802,268.02,0,0,350,3.5,449,4.49,0,0,54,0.54,0,0,59,0.59,0,0,115,1.15,0,0,86,0.86
40,2018-12-22,S2A2A_20181222_122_AOI_BOA_10_MBWI.tif,65766,657.66,1497,14.97,661,6.61,1955,19.55,425,4.25,99,0.99,73,0.73,2,0.02,117,1.17,286,2.86,0,0,177,1.77
41,2019-02-10,S2A2A_20190210_122_AOI_BOA_10_MBWI.tif,65711,657.11,1712,17.12,785,7.85,1931,19.31,1180,11.8,110,1.1,98,0.98,99,0.99,189,1.89,310,3.1,15,0.15,201,2.01
42,2019-02-20,S2A2A_20190220_122_AOI_BOA_10_MBWI.tif,35958,359.58,0,0,161,1.61,184,1.84,1191,11.91,0,0,76,0.76,0,0,2,0.02,0,0,0,0,12,0.12
43,2019-03-02,S2A2A_20190302_122_AOI_BOA_10_MBWI.tif,58825,588.25,354,3.54,286,2.86,934,9.34,988,9.88,96,0.96,35,0.35,0,0,0,0,0,0,0,0,95,0.95
44,2019-03-12,S2A2A_20190312_122_AOI_BOA_10_MBWI.tif,54599,545.99,1635,16.35,746,7.46,1892,18.92,1214,12.14,91,0.91,64,0.64,0,0,0,0,37,0.37,2,0.02,149,1.49
45,2019-04-11,S2A2A_20190411_122_AOI_BOA_10_MBWI.tif,54118,541.18,984,9.84,737,7.37,1939,19.39,831,8.31,30,0.3,44,0.44,0,0,0,0,0,0,28,0.28,116,1.16
46,2019-05-11,S2A2A_20190511_122_AOI_BOA_10_MBWI.tif,60462,604.62,88,0.88,646,6.46,1704,17.04,0,0,55,0.55,40,0.4,0,0,0,0,200,2,0,0,118,1.18
47,2019-06-30,S2A2A_20190630_122_AOI_BOA_10_MBWI.tif,51200,512,142,1.42,449,4.49,1651,16.51,0,0,0,0,0,0,0,0,0,0,100,1,0,0,59,0.59
48,2019-07-10,S2A2A_20190710_122_AOI_BOA_10_MBWI.tif,10210,102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2019-07-20,S2A2A_20190720_122_AOI_BOA_10_MBWI.tif,46588,465.88,15,0.15,371,3.71,1554,15.54,0,0,0,0,0,0,0,0,0,0,137,1.37,0,0,0,0
50,2019-07-30,S2A2A_20190730_122_AOI_BOA_10_MBWI.tif,46422,464.22,0,0,261,2.61,1497,14.97,0,0,0,0,0,0,0,0,0,0,90,0.9,0,0,1,0.01
51,2019-08-09,S2A2A_20190809_122_AOI_BOA_10_MBWI.tif,47196,471.96,0,0,281,2.81,1529,15.29,2,0.02,0,0,0,0,0,0,0,0,18,0.18,0,0,9,0.09
52,2019-08-19,S2A2A_20190819_122_AOI_BOA_10_MBWI.tif,29250,292.5,0,0,0,0,1475,14.75,38,0.38,0,0,0,0,0,0,0,0,94,0.94,0,0,0,0
53,2019-09-08,S2A2A_20190908_122_AOI_BOA_10_MBWI.tif,28607,286.07,0,0,0,0,1593,15.93,272,2.72,0,0,0,0,0,0,0,0,65,0.65,0,0,0,0
54,2019-09-28,S2A2A_20190928_122_AOI_BOA_10_MBWI.tif,21783,217.83,392,3.92,321,3.21,1575,15.75,193,1.93,0,0,40,0.4,0,0,0,0,0,0,0,0,0,0
55,2019-10-18,S2A2A_20191018_122_AOI_BOA_10_MBWI.tif,48952,489.52,1229,12.29,305,3.05,1621,16.21,16,0.16,62,0.62,61,0.61,0,0,0,0,48,0.48,0,0,152,1.52
56,2019-11-07,S2A2A_20191107_122_AOI_BOA_10_MBWI.tif,40002,400.02,0,0,0,0,1810,18.1,984,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2019-11-27,S2A2A_20191127_122_AOI_BOA_10_MBWI.tif,64900,649,1498,14.98,595,5.95,2081,20.81,1147,11.47,104,1.04,71,0.71,117,1.17,2,0.02,312,3.12,16,0.16,171,1.71
58,2019-12-07,S2A2A_20191207_122_AOI_BOA_10_MBWI.tif,64741,647.41,1574,15.74,666,6.66,1892,18.92,1181,11.81,101,1.01,43,0.43,127,1.27,63,0.63,284,2.84,13,0.13,190,1.9
59,2020-02-25,S2A2A_20200225_122_AOI_BOA_10_MBWI.tif,65959,659.59,1628,16.28,636,6.36,2182,21.82,1092,10.92,76,0.76,58,0.58,67,0.67,141,1.41,275,2.75,6,0.06,188,1.88
60,2020-04-05,S2A2A_20200405_122_AOI_BOA_10_MBWI.tif,66621,666.21,1567,15.67,723,7.23,2113,21.13,1310,13.1,39,0.39,72,0.72,108,1.08,109,1.09,301,3.01,0,0,198,1.98
61,2020-05-05,S2A2A_20200505_122_AOI_BOA_10_MBWI.tif,63492,634.92,0,0,514,5.14,1937,19.37,0,0,57,0.57,0,0,0,0,0,0,0,0,32,0.32,172,1.72
62,2020-05-25,S2A2A_20200525_122_AOI_BOA_10_MBWI.tif,61435,614.35,0,0,676,6.76,2055,20.55,16,0.16,51,0.51,0,0,0,0,0,0,0,0,35,0.35,130,1.3
63,2020-06-04,S2A2A_20200604_122_AOI_BOA_10_MBWI.tif,46206,462.06,0,0,538,5.38,1683,16.83,0,0,18,0.18,0,0,0,0,0,0,0,0,0,0,27,0.27
64,2020-06-14,S2A2A_20200614_122_AOI_BOA_10_MBWI.tif,53995,539.95,0,0,358,3.58,1206,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.08
65,2020-06-24,S2A2A_20200624_122_AOI_BOA_10_MBWI.tif,56028,560.28,0,0,689,6.89,1862,18.62,0,0,2,0.02,25,0.25,0,0,0,0,39,0.39,20,0.2,95,0.95
66,2020-07-04,S2A2A_20200704_122_AOI_BOA_10_MBWI.tif,37555,375.55,1,0.01,495,4.95,1670,16.7,0,0,0,0,0,0,0,0,0,0,7,0.07,0,0,90,0.9
67,2020-07-14,S2A2A_20200714_122_AOI_BOA_10_MBWI.tif,50047,500.47,0,0,607,6.07,918,9.18,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0
68,2020-07-24,S2A2A_20200724_122_AOI_BOA_10_MBWI.tif,52709,527.09,0,0,539,5.39,1725,17.25,0,0,0,0,0,0,0,0,0,0,2,0.02,0,0,77,0.77
69,2020-08-03,S2A2A_20200803_122_AOI_BOA_10_MBWI.tif,50321,503.21,0,0,367,3.67,1364,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2020-08-13,S2A2A_20200813_122_AOI_BOA_10_MBWI.tif,33809,338.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2020-08-23,S2A2A_20200823_122_AOI_BOA_10_MBWI.tif,40036,400.36,578,5.78,235,2.35,1693,16.93,18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,2,0.02
72,2020-10-02,S2A2A_20201002_122_AOI_BOA_10_MBWI.tif,44496,444.96,1259,12.59,339,3.39,1677,16.77,8,0.08,12,0.12,27,0.27,0,0,0,0,0,0,0,0,76,0.76
73,2020-10-22,S2A2A_20201022_122_AOI_BOA_10_MBWI.tif,44809,448.09,34,0.34,267,2.67,1180,11.8,0,0,6,0.06,20,0.2,16,0.16,0,0,0,0,0,0,102,1.02
74,2020-11-01,S2A2A_20201101_122_AOI_BOA_10_MBWI.tif,46265,462.65,1353,13.53,468,4.68,1739,17.39,660,6.6,35,0.35,36,0.36,61,0.61,37,0.37,117,1.17,0,0,101,1.01
