X,Date,ImageName,Reservoir_1_px,Reservoir_1_area_ha,Reservoir_2_px,Reservoir_2_area_ha,Reservoir_3_px,Reservoir_3_area_ha,Reservoir_4_px,Reservoir_4_area_ha,Reservoir_5_px,Reservoir_5_area_ha,Reservoir_6_px,Reservoir_6_area_ha,Reservoir_7_px,Reservoir_7_area_ha,Reservoir_8_px,Reservoir_8_area_ha,Reservoir_9_px,Reservoir_9_area_ha,Reservoir_10_px,Reservoir_10_area_ha,Reservoir_11_px,Reservoir_11_area_ha,Reservoir_12_px,Reservoir_12_area_ha
1,2017-01-31,S2A2A_20170131_122_AOI_BOA_10_MNDWI.tif,65618,656.18,1961,19.61,842,8.42,2441,24.41,1850,18.5,118,1.18,117,1.17,81,0.81,326,3.26,275,2.75,85,0.85,139,1.39
2,2017-02-10,S2A2A_20170210_122_AOI_BOA_10_MNDWI.tif,69424,694.24,2189,21.89,1099,10.99,2548,25.48,1852,18.52,146,1.46,136,1.36,172,1.72,360,3.6,450,4.5,0,0,184,1.84
3,2017-03-02,S2A2A_20170302_122_AOI_BOA_10_MNDWI.tif,65598,655.98,1898,18.98,681,6.81,2443,24.43,1116,11.16,28,0.28,99,0.99,48,0.48,327,3.27,282,2.82,0,0,88,0.88
4,2017-03-12,S2A2A_20170312_122_AOI_BOA_10_MNDWI.tif,68248,682.48,1850,18.5,777,7.77,2465,24.65,1581,15.81,28,0.28,113,1.13,73,0.73,324,3.24,347,3.47,1,0.01,104,1.04
5,2017-04-01,S2A2A_20170401_122_AOI_BOA_10_MNDWI.tif,66382,663.82,1705,17.05,754,7.54,2371,23.71,1417,14.17,36,0.36,49,0.49,0,0,289,2.89,254,2.54,0,0,73,0.73
6,2017-04-11,S2A2A_20170411_122_AOI_BOA_10_MNDWI.tif,65899,658.99,402,4.02,522,5.22,2398,23.98,1423,14.23,0,0,40,0.4,0,0,283,2.83,244,2.44,0,0,47,0.47
7,2017-05-01,S2A2A_20170501_122_AOI_BOA_10_MNDWI.tif,61433,614.33,1195,11.95,420,4.2,2273,22.73,1209,12.09,0,0,11,0.11,0,0,181,1.81,0,0,12,0.12,2,0.02
8,2017-05-21,S2A2A_20170521_122_AOI_BOA_10_MNDWI.tif,59515,595.15,1488,14.88,214,2.14,2177,21.77,1212,12.12,31,0.31,0,0,0,0,242,2.42,82,0.82,0,0,95,0.95
9,2017-05-31,S2A2A_20170531_122_AOI_BOA_10_MNDWI.tif,43404,434.04,444,4.44,165,1.65,2097,20.97,458,4.58,2,0.02,0,0,0,0,32,0.32,103,1.03,0,0,138,1.38
10,2017-06-10,S2A2A_20170610_122_AOI_BOA_10_MNDWI.tif,56523,565.23,103,1.03,208,2.08,2025,20.25,922,9.22,4,0.04,0,0,0,0,0,0,102,1.02,0,0,19,0.19
11,2017-06-20,S2A2A_20170620_122_AOI_BOA_10_MNDWI.tif,54865,548.65,343,3.43,284,2.84,2038,20.38,791,7.91,20,0.2,2,0.02,0,0,0,0,116,1.16,0,0,139,1.39
12,2017-06-30,S2A2A_20170630_122_AOI_BOA_10_MNDWI.tif,52074,520.74,0,0,97,0.97,1920,19.2,2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,129,1.29
13,2017-07-10,S2A2A_20170710_122_AOI_BOA_10_MNDWI.tif,50731,507.31,26,0.26,104,1.04,1889,18.89,19,0.19,3,0.03,0,0,0,0,0,0,55,0.55,0,0,133,1.33
14,2017-07-20,S2A2A_20170720_122_AOI_BOA_10_MNDWI.tif,38658,386.58,149,1.49,38,0.38,1838,18.38,104,1.04,2,0.02,1,0.01,0,0,0,0,58,0.58,0,0,67,0.67
15,2017-07-30,S2A2A_20170730_122_AOI_BOA_10_MNDWI.tif,48421,484.21,1408,14.08,110,1.1,1759,17.59,656,6.56,16,0.16,8,0.08,0,0,0,0,130,1.3,0,0,118,1.18
16,2017-08-09,S2A2A_20170809_122_AOI_BOA_10_MNDWI.tif,30448,304.48,758,7.58,110,1.1,160,1.6,26,0.26,0,0,0,0,0,0,0,0,27,0.27,13,0.13,90,0.9
17,2017-08-19,S2A2A_20170819_122_AOI_BOA_10_MNDWI.tif,44295,442.95,1342,13.42,3,0.03,1601,16.01,7,0.07,1,0.01,0,0,0,0,0,0,73,0.73,0,0,114,1.14
18,2017-08-29,S2A2A_20170829_122_AOI_BOA_10_MNDWI.tif,42122,421.22,3,0.03,0,0,1511,15.11,9,0.09,2,0.02,0,0,0,0,0,0,96,0.96,0,0,123,1.23
19,2017-09-18,S2A2A_20170918_122_AOI_BOA_10_MNDWI.tif,40877,408.77,578,5.78,1,0.01,1483,14.83,62,0.62,1,0.01,0,0,0,0,0,0,39,0.39,0,0,100,1
20,2017-10-08,S2A2A_20171008_122_AOI_BOA_10_MNDWI.tif,35958,359.58,750,7.5,4,0.04,1620,16.2,634,6.34,10,0.1,0,0,0,0,0,0,93,0.93,19,0.19,15,0.15
21,2017-10-18,S2A2A_20171018_122_AOI_BOA_10_MNDWI.tif,40093,400.93,1519,15.19,3,0.03,1634,16.34,523,5.23,12,0.12,0,0,0,0,0,0,129,1.29,15,0.15,120,1.2
22,2017-11-07,S2A2A_20171107_122_AOI_BOA_10_MNDWI.tif,40913,409.13,1359,13.59,0,0,1824,18.24,1087,10.87,22,0.22,6,0.06,0,0,98,0.98,0,0,50,0.5,156,1.56
23,2017-12-07,S2A2A_20171207_122_AOI_BOA_10_MNDWI.tif,42272,422.72,1814,18.14,797,7.97,2115,21.15,1227,12.27,35,0.35,17,0.17,7,0.07,100,1,207,2.07,0,0,144,1.44
24,2017-12-17,S2A2A_20171217_122_AOI_BOA_10_MNDWI.tif,43058,430.58,1854,18.54,908,9.08,2158,21.58,644,6.44,70,0.7,164,1.64,1,0.01,80,0.8,329,3.29,0,0,414,4.14
25,2018-01-06,S2A2A_20180106_122_AOI_BOA_10_MNDWI.tif,42158,421.58,1677,16.77,880,8.8,2130,21.3,1255,12.55,24,0.24,18,0.18,23,0.23,36,0.36,225,2.25,0,0,137,1.37
26,2018-01-16,S2A2A_20180116_122_AOI_BOA_10_MNDWI.tif,42498,424.98,1808,18.08,867,8.67,1976,19.76,1548,15.48,11,0.11,19,0.19,0,0,1,0.01,242,2.42,62,0.62,129,1.29
27,2018-01-26,S2A2A_20180126_122_AOI_BOA_10_MNDWI.tif,41591,415.91,1700,17,868,8.68,2179,21.79,1411,14.11,0,0,18,0.18,0,0,0,0,223,2.23,0,0,128,1.28
28,2018-03-07,S2A2A_20180307_122_AOI_BOA_10_MNDWI.tif,39424,394.24,0,0,107,1.07,75,0.75,2125,21.25,0,0,0,0,0,0,7,0.07,24,0.24,0,0,0,0
