X,Date,ImageName,Reservoir_1_px,Reservoir_1_area_ha,Reservoir_2_px,Reservoir_2_area_ha,Reservoir_3_px,Reservoir_3_area_ha,Reservoir_4_px,Reservoir_4_area_ha,Reservoir_5_px,Reservoir_5_area_ha,Reservoir_6_px,Reservoir_6_area_ha,Reservoir_7_px,Reservoir_7_area_ha,Reservoir_8_px,Reservoir_8_area_ha,Reservoir_9_px,Reservoir_9_area_ha,Reservoir_10_px,Reservoir_10_area_ha,Reservoir_11_px,Reservoir_11_area_ha,Reservoir_12_px,Reservoir_12_area_ha
1,2017-01-31,S2A2A_20170131_122_AOI_BOA_10_NDVI.tif,63586,635.86,1936,19.36,801,8.01,2342,23.42,1724,17.24,107,1.07,99,0.99,14,0.14,275,2.75,100,1,87,0.87,103,1.03
2,2017-02-10,S2A2A_20170210_122_AOI_BOA_10_NDVI.tif,67232,672.32,2098,20.98,999,9.99,2405,24.05,1690,16.9,124,1.24,115,1.15,148,1.48,295,2.95,369,3.69,0,0,92,0.92
3,2017-03-02,S2A2A_20170302_122_AOI_BOA_10_NDVI.tif,60197,601.97,1897,18.97,713,7.13,2300,23,797,7.97,4,0.04,91,0.91,0,0,282,2.82,67,0.67,36,0.36,0,0
4,2017-03-12,S2A2A_20170312_122_AOI_BOA_10_NDVI.tif,66611,666.11,1840,18.4,817,8.17,2348,23.48,1521,15.21,5,0.05,101,1.01,20,0.2,288,2.88,326,3.26,39,0.39,1,0.01
5,2017-04-01,S2A2A_20170401_122_AOI_BOA_10_NDVI.tif,64865,648.65,1766,17.66,776,7.76,2294,22.94,1400,14,25,0.25,68,0.68,0,0,265,2.65,251,2.51,43,0.43,6,0.06
6,2017-04-11,S2A2A_20170411_122_AOI_BOA_10_NDVI.tif,64841,648.41,1817,18.17,849,8.49,2363,23.63,1530,15.3,97,0.97,85,0.85,127,1.27,289,2.89,321,3.21,60,0.6,203,2.03
7,2017-05-01,S2A2A_20170501_122_AOI_BOA_10_NDVI.tif,58983,589.83,1758,17.58,600,6,2320,23.2,1368,13.68,67,0.67,55,0.55,77,0.77,254,2.54,1,0.01,51,0.51,11,0.11
8,2017-05-21,S2A2A_20170521_122_AOI_BOA_10_NDVI.tif,56719,567.19,1425,14.25,172,1.72,2269,22.69,938,9.38,8,0.08,10,0.1,0,0,16,0.16,97,0.97,20,0.2,148,1.48
9,2017-05-31,S2A2A_20170531_122_AOI_BOA_10_NDVI.tif,41115,411.15,1212,12.12,269,2.69,2259,22.59,446,4.46,2,0.02,11,0.11,113,1.13,172,1.72,184,1.84,25,0.25,198,1.98
10,2017-06-10,S2A2A_20170610_122_AOI_BOA_10_NDVI.tif,54805,548.05,1012,10.12,115,1.15,2232,22.32,564,5.64,0,0,0,0,0,0,106,1.06,168,1.68,27,0.27,95,0.95
11,2017-06-20,S2A2A_20170620_122_AOI_BOA_10_NDVI.tif,52726,527.26,992,9.92,169,1.69,2208,22.08,494,4.94,2,0.02,26,0.26,53,0.53,50,0.5,172,1.72,22,0.22,195,1.95
12,2017-06-30,S2A2A_20170630_122_AOI_BOA_10_NDVI.tif,49102,491.02,0,0,54,0.54,2158,21.58,9,0.09,0,0,0,0,0,0,0,0,0,0,11,0.11,184,1.84
13,2017-07-10,S2A2A_20170710_122_AOI_BOA_10_NDVI.tif,47636,476.36,29,0.29,65,0.65,2079,20.79,100,1,0,0,4,0.04,0,0,0,0,37,0.37,14,0.14,179,1.79
14,2017-07-20,S2A2A_20170720_122_AOI_BOA_10_NDVI.tif,37925,379.25,165,1.65,38,0.38,2000,20,158,1.58,0,0,14,0.14,0,0,0,0,43,0.43,10,0.1,146,1.46
15,2017-07-30,S2A2A_20170730_122_AOI_BOA_10_NDVI.tif,44988,449.88,1330,13.3,121,1.21,1963,19.63,394,3.94,0,0,39,0.39,6,0.06,13,0.13,145,1.45,20,0.2,173,1.73
16,2017-08-09,S2A2A_20170809_122_AOI_BOA_10_NDVI.tif,30269,302.69,1020,10.2,452,4.52,212,2.12,49,0.49,0,0,11,0.11,0,0,0,0,78,0.78,0,0,165,1.65
17,2017-08-19,S2A2A_20170819_122_AOI_BOA_10_NDVI.tif,41983,419.83,1454,14.54,141,1.41,1932,19.32,517,5.17,7,0.07,34,0.34,76,0.76,156,1.56,159,1.59,17,0.17,181,1.81
18,2017-08-29,S2A2A_20170829_122_AOI_BOA_10_NDVI.tif,41128,411.28,1452,14.52,152,1.52,1901,19.01,523,5.23,14,0.14,29,0.29,65,0.65,150,1.5,149,1.49,15,0.15,172,1.72
19,2017-09-18,S2A2A_20170918_122_AOI_BOA_10_NDVI.tif,40664,406.64,1346,13.46,32,0.32,1831,18.31,458,4.58,3,0.03,0,0,49,0.49,87,0.87,108,1.08,8,0.08,165,1.65
20,2017-10-08,S2A2A_20171008_122_AOI_BOA_10_NDVI.tif,33623,336.23,942,9.42,7,0.07,1795,17.95,587,5.87,12,0.12,0,0,48,0.48,117,1.17,120,1.2,1,0.01,87,0.87
21,2017-10-18,S2A2A_20171018_122_AOI_BOA_10_NDVI.tif,40243,402.43,1469,14.69,165,1.65,1819,18.19,595,5.95,19,0.19,0,0,78,0.78,120,1.2,19,0.19,42,0.42,157,1.57
22,2017-11-07,S2A2A_20171107_122_AOI_BOA_10_NDVI.tif,40341,403.41,1444,14.44,0,0,1902,19.02,1077,10.77,22,0.22,5,0.05,2,0.02,103,1.03,0,0,64,0.64,154,1.54
23,2017-12-07,S2A2A_20171207_122_AOI_BOA_10_NDVI.tif,41194,411.94,1754,17.54,782,7.82,1513,15.13,1155,11.55,19,0.19,14,0.14,0,0,90,0.9,192,1.92,3,0.03,137,1.37
24,2017-12-17,S2A2A_20171217_122_AOI_BOA_10_NDVI.tif,40966,409.66,1745,17.45,805,8.05,2023,20.23,467,4.67,1,0.01,0,0,0,0,0,0,165,1.65,7,0.07,0,0
25,2018-01-06,S2A2A_20180106_122_AOI_BOA_10_NDVI.tif,41360,413.6,1689,16.89,817,8.17,2028,20.28,1202,12.02,14,0.14,15,0.15,3,0.03,14,0.14,194,1.94,9,0.09,126,1.26
26,2018-01-16,S2A2A_20180116_122_AOI_BOA_10_NDVI.tif,41303,413.03,1779,17.79,821,8.21,1852,18.52,1474,14.74,0,0,17,0.17,1,0.01,6,0.06,197,1.97,66,0.66,122,1.22
27,2018-01-26,S2A2A_20180126_122_AOI_BOA_10_NDVI.tif,40663,406.63,1746,17.46,829,8.29,2127,21.27,1370,13.7,0,0,14,0.14,3,0.03,55,0.55,203,2.03,2,0.02,131,1.31
28,2018-03-07,S2A2A_20180307_122_AOI_BOA_10_NDVI.tif,33803,338.03,0,0,9,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2018-04-06,S2A2A_20180406_122_AOI_BOA_10_NDVI.tif,40799,407.99,1745,17.45,861,8.61,2223,22.23,1462,14.62,7,0.07,8,0.08,16,0.16,6,0.06,185,1.85,130,1.3,123,1.23
30,2018-04-16,S2A2A_20180416_122_AOI_BOA_10_NDVI.tif,40450,404.5,1637,16.37,864,8.64,2203,22.03,1206,12.06,0,0,4,0.04,4,0.04,5,0.05,154,1.54,124,1.24,129,1.29
31,2018-05-26,S2A2A_20180526_122_AOI_BOA_10_NDVI.tif,36748,367.48,1163,11.63,773,7.73,2071,20.71,328,3.28,0,0,0,0,0,0,0,0,46,0.46,114,1.14,85,0.85
32,2018-06-05,S2A2A_20180605_122_AOI_BOA_10_NDVI.tif,35483,354.83,1371,13.71,840,8.4,2097,20.97,558,5.58,0,0,0,0,0,0,0,0,39,0.39,110,1.1,102,1.02
33,2018-06-25,S2A2A_20180625_122_AOI_BOA_10_NDVI.tif,20714,207.14,1203,12.03,831,8.31,2061,20.61,444,4.44,0,0,0,0,3,0.03,0,0,6,0.06,99,0.99,78,0.78
34,2018-07-05,S2A2A_20180705_122_AOI_BOA_10_NDVI.tif,4568,45.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2018-07-15,S2A2A_20180715_122_AOI_BOA_10_NDVI.tif,27908,279.08,0,0,441,4.41,1115,11.15,0,0,0,0,0,0,0,0,0,0,0,0,3,0.03,65,0.65
36,2018-07-25,S2A2A_20180725_122_AOI_BOA_10_NDVI.tif,26555,265.55,1470,14.7,711,7.11,2027,20.27,479,4.79,0,0,0,0,3,0.03,22,0.22,3,0.03,101,1.01,87,0.87
37,2018-08-14,S2A2A_20180814_122_AOI_BOA_10_NDVI.tif,22548,225.48,1464,14.64,418,4.18,2104,21.04,488,4.88,2,0.02,4,0.04,3,0.03,0,0,0,0,144,1.44,103,1.03
38,2018-09-03,S2A2A_20180903_122_AOI_BOA_10_NDVI.tif,23302,233.02,1694,16.94,511,5.11,2090,20.9,350,3.5,0,0,8,0.08,23,0.23,57,0.57,112,1.12,123,1.23,63,0.63
39,2018-09-23,S2A2A_20180923_122_AOI_BOA_10_NDVI.tif,38734,387.34,1156,11.56,1052,10.52,2514,25.14,1329,13.29,109,1.09,0,0,116,1.16,189,1.89,360,3.6,132,1.32,209,2.09
40,2018-12-22,S2A2A_20181222_122_AOI_BOA_10_NDVI.tif,66892,668.92,1689,16.89,771,7.71,2280,22.8,733,7.33,122,1.22,101,1.01,23,0.23,230,2.3,317,3.17,7,0.07,259,2.59
41,2019-02-10,S2A2A_20190210_122_AOI_BOA_10_NDVI.tif,67209,672.09,1954,19.54,940,9.4,2360,23.6,1513,15.13,141,1.41,135,1.35,141,1.41,299,2.99,344,3.44,70,0.7,273,2.73
42,2019-02-20,S2A2A_20190220_122_AOI_BOA_10_NDVI.tif,41832,418.32,30,0.3,423,4.23,688,6.88,1441,14.41,0,0,117,1.17,0,0,70,0.7,5,0.05,51,0.51,66,0.66
43,2019-03-02,S2A2A_20190302_122_AOI_BOA_10_NDVI.tif,64084,640.84,623,6.23,539,5.39,1444,14.44,1307,13.07,119,1.19,96,0.96,0,0,0,0,0,0,8,0.08,171,1.71
44,2019-03-12,S2A2A_20190312_122_AOI_BOA_10_NDVI.tif,66452,664.52,1827,18.27,921,9.21,2356,23.56,1412,14.12,119,1.19,115,1.15,0,0,217,2.17,274,2.74,74,0.74,213,2.13
45,2019-04-11,S2A2A_20190411_122_AOI_BOA_10_NDVI.tif,57786,577.86,1451,14.51,858,8.58,2174,21.74,1187,11.87,82,0.82,89,0.89,1,0.01,130,1.3,288,2.88,85,0.85,208,2.08
46,2019-05-11,S2A2A_20190511_122_AOI_BOA_10_NDVI.tif,61851,618.51,1667,16.67,810,8.1,2118,21.18,137,1.37,93,0.93,91,0.91,33,0.33,25,0.25,291,2.91,0,0,209,2.09
47,2019-06-30,S2A2A_20190630_122_AOI_BOA_10_NDVI.tif,54832,548.32,1232,12.32,596,5.96,2004,20.04,455,4.55,54,0.54,22,0.22,14,0.14,4,0.04,203,2.03,57,0.57,176,1.76
48,2019-07-10,S2A2A_20190710_122_AOI_BOA_10_NDVI.tif,51554,515.54,0,0,438,4.38,1931,19.31,0,0,0,0,0,0,0,0,0,0,74,0.74,30,0.3,185,1.85
49,2019-07-20,S2A2A_20190720_122_AOI_BOA_10_NDVI.tif,50376,503.76,1187,11.87,543,5.43,1928,19.28,452,4.52,39,0.39,21,0.21,11,0.11,6,0.06,153,1.53,58,0.58,179,1.79
50,2019-07-30,S2A2A_20190730_122_AOI_BOA_10_NDVI.tif,49074,490.74,102,1.02,456,4.56,1882,18.82,391,3.91,63,0.63,2,0.02,0,0,0,0,129,1.29,56,0.56,184,1.84
51,2019-08-09,S2A2A_20190809_122_AOI_BOA_10_NDVI.tif,49308,493.08,660,6.6,386,3.86,1832,18.32,329,3.29,45,0.45,26,0.26,1,0.01,0,0,84,0.84,54,0.54,177,1.77
52,2019-08-19,S2A2A_20190819_122_AOI_BOA_10_NDVI.tif,45071,450.71,1117,11.17,134,1.34,1829,18.29,477,4.77,19,0.19,51,0.51,39,0.39,1,0.01,115,1.15,0,0,160,1.6
53,2019-09-08,S2A2A_20190908_122_AOI_BOA_10_NDVI.tif,52024,520.24,639,6.39,84,0.84,2006,20.06,1000,10,199,1.99,91,0.91,5,0.05,0,0,99,0.99,0,0,192,1.92
54,2019-09-28,S2A2A_20190928_122_AOI_BOA_10_NDVI.tif,41747,417.47,802,8.02,353,3.53,1898,18.98,790,7.9,34,0.34,83,0.83,10,0.1,2,0.02,227,2.27,57,0.57,72,0.72
55,2019-10-18,S2A2A_20191018_122_AOI_BOA_10_NDVI.tif,50256,502.56,1391,13.91,400,4,1909,19.09,738,7.38,81,0.81,114,1.14,15,0.15,0,0,206,2.06,17,0.17,243,2.43
56,2019-11-07,S2A2A_20191107_122_AOI_BOA_10_NDVI.tif,47696,476.96,6,0.06,20,0.2,2003,20.03,1111,11.11,43,0.43,217,2.17,53,0.53,29,0.29,556,5.56,1,0.01,386,3.86
57,2019-11-27,S2A2A_20191127_122_AOI_BOA_10_NDVI.tif,66150,661.5,1782,17.82,784,7.84,2399,23.99,1396,13.96,119,1.19,109,1.09,148,1.48,244,2.44,328,3.28,81,0.81,275,2.75
58,2019-12-07,S2A2A_20191207_122_AOI_BOA_10_NDVI.tif,65959,659.59,1772,17.72,787,7.87,2200,22,1379,13.79,121,1.21,76,0.76,148,1.48,242,2.42,317,3.17,78,0.78,266,2.66
59,2020-02-25,S2A2A_20200225_122_AOI_BOA_10_NDVI.tif,67330,673.3,1781,17.81,749,7.49,2321,23.21,1260,12.6,95,0.95,81,0.81,110,1.1,217,2.17,307,3.07,36,0.36,227,2.27
60,2020-04-05,S2A2A_20200405_122_AOI_BOA_10_NDVI.tif,67968,679.68,1769,17.69,862,8.62,2406,24.06,1513,15.13,75,0.75,100,1,139,1.39,207,2.07,353,3.53,124,1.24,260,2.6
