X,Date,ImageName,Reservoir_1_px,Reservoir_1_area_ha,Reservoir_2_px,Reservoir_2_area_ha,Reservoir_3_px,Reservoir_3_area_ha,Reservoir_4_px,Reservoir_4_area_ha,Reservoir_5_px,Reservoir_5_area_ha,Reservoir_6_px,Reservoir_6_area_ha,Reservoir_7_px,Reservoir_7_area_ha,Reservoir_8_px,Reservoir_8_area_ha,Reservoir_9_px,Reservoir_9_area_ha,Reservoir_10_px,Reservoir_10_area_ha,Reservoir_11_px,Reservoir_11_area_ha,Reservoir_12_px,Reservoir_12_area_ha
1,2017-01-31,S2A2A_20170131_122_AOI_BOA_10_NDWI.tif,64160,641.6,1922,19.22,860,8.6,2334,23.34,1735,17.35,116,1.16,107,1.07,126,1.26,248,2.48,300,3,81,0.81,196,1.96
2,2017-02-10,S2A2A_20170210_122_AOI_BOA_10_NDWI.tif,67440,674.4,2071,20.71,1011,10.11,2368,23.68,1680,16.8,129,1.29,121,1.21,163,1.63,262,2.62,386,3.86,0,0,149,1.49
3,2017-03-02,S2A2A_20170302_122_AOI_BOA_10_NDWI.tif,63020,630.2,1917,19.17,800,8,2328,23.28,1092,10.92,77,0.77,104,1.04,72,0.72,260,2.6,306,3.06,42,0.42,142,1.42
4,2017-03-12,S2A2A_20170312_122_AOI_BOA_10_NDWI.tif,67046,670.46,1868,18.68,840,8.4,2367,23.67,1585,15.85,64,0.64,107,1.07,124,1.24,273,2.73,344,3.44,42,0.42,139,1.39
5,2017-04-01,S2A2A_20170401_122_AOI_BOA_10_NDWI.tif,65603,656.03,1808,18.08,824,8.24,2334,23.34,1484,14.84,84,0.84,85,0.85,71,0.71,259,2.59,308,3.08,48,0.48,154,1.54
6,2017-04-11,S2A2A_20170411_122_AOI_BOA_10_NDWI.tif,65542,655.42,1837,18.37,868,8.68,2416,24.16,1573,15.73,105,1.05,94,0.94,129,1.29,294,2.94,342,3.42,59,0.59,216,2.16
7,2017-05-01,S2A2A_20170501_122_AOI_BOA_10_NDWI.tif,60502,605.02,1785,17.85,664,6.64,2356,23.56,1439,14.39,77,0.77,65,0.65,81,0.81,261,2.61,0,0,53,0.53,3,0.03
8,2017-05-21,S2A2A_20170521_122_AOI_BOA_10_NDWI.tif,57276,572.76,1527,15.27,221,2.21,2284,22.84,1084,10.84,42,0.42,5,0.05,1,0.01,17,0.17,175,1.75,20,0.2,162,1.62
9,2017-05-31,S2A2A_20170531_122_AOI_BOA_10_NDWI.tif,43168,431.68,1361,13.61,376,3.76,2275,22.75,529,5.29,29,0.29,0,0,110,1.1,186,1.86,235,2.35,11,0.11,216,2.16
10,2017-06-10,S2A2A_20170610_122_AOI_BOA_10_NDWI.tif,56032,560.32,1297,12.97,310,3.1,2262,22.62,766,7.66,21,0.21,0,0,0,0,144,1.44,231,2.31,30,0.3,87,0.87
11,2017-06-20,S2A2A_20170620_122_AOI_BOA_10_NDWI.tif,54256,542.56,1240,12.4,317,3.17,2232,22.32,632,6.32,23,0.23,54,0.54,53,0.53,78,0.78,230,2.3,20,0.2,216,2.16
12,2017-06-30,S2A2A_20170630_122_AOI_BOA_10_NDWI.tif,51088,510.88,24,0.24,119,1.19,2152,21.52,345,3.45,0,0,2,0.02,0,0,0,0,198,1.98,11,0.11,207,2.07
13,2017-07-10,S2A2A_20170710_122_AOI_BOA_10_NDWI.tif,49029,490.29,604,6.04,221,2.21,2097,20.97,368,3.68,1,0.01,53,0.53,0,0,0,0,208,2.08,12,0.12,197,1.97
14,2017-07-20,S2A2A_20170720_122_AOI_BOA_10_NDWI.tif,40259,402.59,706,7.06,78,0.78,2035,20.35,340,3.4,0,0,0,0,0,0,0,0,199,1.99,10,0.1,161,1.61
15,2017-07-30,S2A2A_20170730_122_AOI_BOA_10_NDWI.tif,46332,463.32,1495,14.95,225,2.25,1984,19.84,490,4.9,7,0.07,49,0.49,27,0.27,58,0.58,186,1.86,17,0.17,188,1.88
16,2017-08-09,S2A2A_20170809_122_AOI_BOA_10_NDWI.tif,33599,335.99,1246,12.46,53,0.53,90,0.9,184,1.84,0,0,39,0.39,0,0,0,0,163,1.63,0,0,177,1.77
17,2017-08-19,S2A2A_20170819_122_AOI_BOA_10_NDWI.tif,43649,436.49,1584,15.84,149,1.49,1957,19.57,532,5.32,7,0.07,37,0.37,76,0.76,156,1.56,179,1.79,15,0.15,201,2.01
18,2017-08-29,S2A2A_20170829_122_AOI_BOA_10_NDWI.tif,42472,424.72,1490,14.9,153,1.53,1906,19.06,532,5.32,14,0.14,35,0.35,65,0.65,150,1.5,179,1.79,14,0.14,196,1.96
19,2017-09-18,S2A2A_20170918_122_AOI_BOA_10_NDWI.tif,41336,413.36,1469,14.69,40,0.4,1844,18.44,526,5.26,3,0.03,4,0.04,49,0.49,87,0.87,164,1.64,8,0.08,177,1.77
20,2017-10-08,S2A2A_20171008_122_AOI_BOA_10_NDWI.tif,35107,351.07,985,9.85,14,0.14,1827,18.27,660,6.6,12,0.12,0,0,48,0.48,132,1.32,146,1.46,0,0,110,1.1
21,2017-10-18,S2A2A_20171018_122_AOI_BOA_10_NDWI.tif,40471,404.71,1558,15.58,165,1.65,1836,18.36,657,6.57,20,0.2,0,0,78,0.78,132,1.32,148,1.48,38,0.38,176,1.76
22,2017-11-07,S2A2A_20171107_122_AOI_BOA_10_NDWI.tif,40465,404.65,1504,15.04,0,0,1926,19.26,1112,11.12,43,0.43,8,0.08,77,0.77,146,1.46,0,0,57,0.57,173,1.73
23,2017-12-07,S2A2A_20171207_122_AOI_BOA_10_NDWI.tif,41598,415.98,1755,17.55,791,7.91,1848,18.48,1218,12.18,56,0.56,17,0.17,84,0.84,155,1.55,197,1.97,8,0.08,156,1.56
