X,Date,ImageName,Reservoir_1_px,Reservoir_1_area_ha,Reservoir_2_px,Reservoir_2_area_ha,Reservoir_3_px,Reservoir_3_area_ha,Reservoir_4_px,Reservoir_4_area_ha,Reservoir_5_px,Reservoir_5_area_ha,Reservoir_6_px,Reservoir_6_area_ha,Reservoir_7_px,Reservoir_7_area_ha,Reservoir_8_px,Reservoir_8_area_ha,Reservoir_9_px,Reservoir_9_area_ha,Reservoir_10_px,Reservoir_10_area_ha,Reservoir_11_px,Reservoir_11_area_ha,Reservoir_12_px,Reservoir_12_area_ha
1,2017-01-31,S2A2A_20170131_122_AOI_BOA_10_SWI.tif,67887,678.87,2082,20.82,987,9.87,2643,26.43,2005,20.05,96,0.96,116,1.16,0,0,462,4.62,384,3.84,104,1.04,172,1.72
2,2017-02-10,S2A2A_20170210_122_AOI_BOA_10_SWI.tif,72693,726.93,2320,23.2,1189,11.89,2828,28.28,2089,20.89,151,1.51,148,1.48,176,1.76,505,5.05,571,5.71,0,0,262,2.62
3,2017-03-02,S2A2A_20170302_122_AOI_BOA_10_SWI.tif,64929,649.29,1916,19.16,748,7.48,2547,25.47,841,8.41,0,0,60,0.6,0,0,434,4.34,332,3.32,0,0,124,1.24
4,2017-03-12,S2A2A_20170312_122_AOI_BOA_10_SWI.tif,69191,691.91,1816,18.16,696,6.96,2583,25.83,1541,15.41,0,0,88,0.88,0,0,419,4.19,324,3.24,0,0,184,1.84
5,2017-04-01,S2A2A_20170401_122_AOI_BOA_10_SWI.tif,66500,665,1520,15.2,596,5.96,2403,24.03,1051,10.51,0,0,8,0.08,0,0,332,3.32,100,1,0,0,100,1
6,2017-04-11,S2A2A_20170411_122_AOI_BOA_10_SWI.tif,38080,380.8,0,0,314,3.14,2242,22.42,193,1.93,0,0,0,0,0,0,284,2.84,12,0.12,0,0,20,0.2
7,2017-05-01,S2A2A_20170501_122_AOI_BOA_10_SWI.tif,33268,332.68,0,0,400,4,2054,20.54,204,2.04,0,0,4,0.04,0,0,68,0.68,0,0,0,0,0,0
8,2017-05-21,S2A2A_20170521_122_AOI_BOA_10_SWI.tif,60999,609.99,1440,14.4,364,3.64,2168,21.68,1044,10.44,24,0.24,0,0,0,0,318,3.18,36,0.36,0,0,92,0.92
9,2017-05-31,S2A2A_20170531_122_AOI_BOA_10_SWI.tif,37644,376.44,368,3.68,236,2.36,1912,19.12,340,3.4,24,0.24,0,0,0,0,0,0,56,0.56,0,0,72,0.72
10,2017-06-10,S2A2A_20170610_122_AOI_BOA_10_SWI.tif,56004,560.04,360,3.6,364,3.64,1860,18.6,696,6.96,24,0.24,0,0,0,0,0,0,56,0.56,0,0,0,0
11,2017-06-20,S2A2A_20170620_122_AOI_BOA_10_SWI.tif,53701,537.01,448,4.48,396,3.96,1856,18.56,728,7.28,52,0.52,0,0,0,0,0,0,60,0.6,0,0,56,0.56
